year,month,day,day_week,close_norm,open_norm,high_norm,low_norm,range_norm
2011,12,6,3,0,0,0,0,0
2011,12,7,4,0.000272517,0.008787644,0.006261258,0.006584893,-0.014477401
2011,12,8,5,-0.028393952,-0.011791648,-0.012908305,-0.028718297,1.021855966
2011,12,9,6,-0.011732113,-0.037265311,-0.024187734,-0.020448077,-0.141768563
2011,12,12,2,-0.030382132,0.013037268,-0.001315495,-0.021335236,0.717117489
2011,12,13,3,0.003341761,-0.047753598,-0.031153835,-0.013069628,-0.401034151
2011,12,14,4,-0.00454389,0.008695293,0.006311941,0.010681139,-0.140935555
2011,12,15,5,-0.010301184,-0.011708219,-0.021547908,-0.012648902,-0.374386539
2011,12,16,6,-0.03235012,0.003881909,0.010964216,-0.029663369,2.553231229
2011,12,19,2,-0.030733367,-0.042441569,-0.05585972,-0.040069151,-0.32569386
2011,12,20,3,-0.015427832,-0.021398012,-0.01976669,-0.004511924,-0.390863736
2011,12,21,4,0.050086234,0.006359731,0.034408481,0.021844238,0.533913489
2011,12,22,5,0.023873052,0.013401675,0.02186227,0.016147933,0.173202069
2011,12,23,6,-0.010519223,0.037008709,0.004307425,0.023474266,-0.435357702
2011,12,26,2,0.009413665,-0.012472937,-0.00375653,0.004749529,-0.35743073
2011,12,27,3,-0.011827501,0.005685822,-0.006466592,-0.008296504,0.1125049
2011,12,28,4,-0.019829618,-0.011073779,-0.013107014,-0.020756702,0.430232558
2011,12,29,5,-0.010355796,-0.024927024,-0.014377248,-0.008245221,-0.257698941
2011,12,30,6,-0.007318684,0.002844614,-0.002119842,-0.007712774,0.294390972
2012,1,2,2,0.003312983,-0.00784695,-0.011292895,-0.004656063,-0.281025641
2012,1,3,3,0.043182969,0.007859074,0.040842255,0.023395557,1.022467903
2012,1,4,4,0.008165174,0.039162372,0.011613922,0.02744401,-0.439076001
2012,1,5,5,0.005530184,0.003880104,0.007423049,0.012044343,-0.233574348
2012,1,6,6,0.003944458,-0.00286766,0.008278389,-0.01151979,1.371616079
2012,1,9,2,-0.000812888,0.006317469,-0.008018261,0.003898741,-0.350051885
2012,1,10,3,0.029912691,0.01008828,0.027119679,0.024700176,0.134379989
2012,1,11,4,0.011980469,0.026078857,0.012590298,0.023501432,-0.42434905
2012,1,12,5,0.01024356,0.008357834,0.017643174,0.010759765,0.507742461
2012,1,13,6,0.005016657,0.017941561,0.006405812,0.00947878,-0.14027027
2012,1,16,2,-0.003877416,-0.008526235,-0.011578309,-0.01122959,-0.031122289
2012,1,17,3,0.013025363,0.011264129,0.016335952,0.022458971,-0.333874108
2012,1,18,4,-0.003676836,0.005957631,-0.005167618,-0.009887037,0.409157331
2012,1,19,5,0.019504843,0.004350775,0.016046585,0.020632768,-0.26685102
2012,1,20,6,0.034507685,0.020243115,0.037697347,0.017755963,1.750117869
2012,1,23,2,0.000362515,0.022812031,0.010339796,0.025311539,-0.465455169
2012,1,24,3,0.032950642,0.00346729,0.023413397,-0.00492997,1.751122514
